State,State_Name,2009 income,2009 sqFtPr,current income,current sqFtPr
AK,Alaska,70126,187,79466,201
AL,Alabama,42264,74,50519,78
AR,Arkansas,40647,69,51077,84
AZ,Arizona,45988,123,54329,171
CA,California,50051,139,61063,218
CO,Colorado,55069,138,68300,226
CT,Connecticut,64534,152,73227,147
FL,Florida,46694,93,54624,134
GA,Georgia,43438,78,50947,90
HI,Hawaii,63107,387,77312,554
IA,Iowa,51561,108,66026,137
ID,Idaho,47133,109,57002,155
IL,Illinois,48610,92,58457,91
IN,Indiana,45879,78,56263,98
KS,Kansas,45420,112,55096,136
KY,Kentucky,44671,81,54525,103
LA,Louisiana,44012,77,48681,92
MA,Massachusetts,58049,182,74852,236
MD,Maryland,60463,131,68817,134
ME,Maine,46571,110,58504,148
MI,Michigan,47772,79,58058,115
MN,Minnesota,54596,131,68880,170
MO,Missouri,46690,81,54768,101
MS,Mississippi,43028,75,50492,87
MT,Montana,46026,171,58975,212
NC,North Carolina,44199,88,53418,101
ND,North Dakota,48899,114,61470,170
NE,Nebraska,50022,94,65100,130
NH,New Hampshire,68907,137,82252,172
NJ,New Jersey,55298,191,68295,189
NM,New Mexico,43157,112,45864,121
NV,Nevada,53577,116,59413,196
NY,New York,51753,113,62569,131
OH,Ohio,46912,76,56705,93
OK,Oklahoma,45789,69,55766,80
OR,Oregon,46515,137,59756,204
PA,Pennsylvania,51812,102,62239,111
RI,Rhode Island,54332,163,68900,201
SC,South Carolina,46151,99,53243,118
SD,South Dakota,46547,136,58925,179
TN,Tennessee,41931,77,50988,99
TX,Texas,45080,73,55000,101
UT,Utah,58431,155,74061,221
VA,Virginia,48375,117,59421,130
WA,Washington,54329,146,67273,212
WI,Wisconsin,52163,100,64300,122
WV,West Virginia,41016,70,47728,82
WY,Wyoming,53629,148,64245,185
