regionname,current_income,2009_income,sqftpr
"New York, NY",79370,66458,260
"Los Angeles-Long Beach-Anaheim, CA",73574,58891,426
"Chicago, IL",71481,59466,148
"Dallas-Fort Worth, TX",70361,56657,126
"Philadelphia, PA",71577,59974,141
"Houston, TX",66064,56662,104
"Miami-Fort Lauderdale, FL",56511,47424,188
"Atlanta, GA",67998,58271,111
"Boston, MA",90087,69877,281
"Detroit, MI",60995,50124,118
"Riverside, CA",65311,55015,214
"Phoenix, AZ",64657,53417,155
"Minneapolis-St Paul, MN",79946,64146,200
"Baltimore, MD",79694,65572,179
"Denver, CO",80525,59768,264
"Pittsburgh, PA",61324,47096,107
"Portland, OR",75851,56134,232
"Charlotte, NC",63686,51565,118
"Orlando, FL",57177,48497,138
"Cincinnati, OH",64314,53157,109
"Cleveland, OH",54227,47224,97
"Kansas City, MO",65894,55614,129
"Las Vegas, NV",60084,56082,163
"Columbus, OH",66768,52452,124
"Indianapolis, IN",61964,51092,100
"Austin, TX",76819,57827,160
"Nashville, TN",66669,51137,149
"Providence, RI",68900,54332,201
"Milwaukee, WI",61723,52286,136
"Jacksonville, FL",60811,52235,122
"Memphis, TN",52725,45887,82
"Oklahoma City, OK",58595,47117,91
"Louisville-Jefferson County, KY",59614,47423,118
"Hartford, CT",73939,65604,144
"Richmond, VA",70572,57414,132
"New Orleans, LA",52042,46904,106
"Buffalo, NY",58326,46832,113
"Raleigh, NC",75399,59779,135
"Birmingham, AL",54823,46469,86
"Rochester, NY",59849,51557,99
"Grand Rapids, MI",64048,49605,142
"Fresno, CA",54461,46204,156
"Albuquerque, NM",52821,47385,133
"Albany, NY",72626,57480,143
"Omaha, NE",68918,53861,130
"New Haven, CT",70079,61225,149
"Bakersfield, CA",51208,46716,139
"Knoxville, TN",53771,43143,103
"Greenville, SC",52875,43846,106
"Allentown, PA",66734,57546,128
"El Paso, TX",45892,38157,85
"Baton Rouge, LA",59590,48666,109
"Dayton, OH",54877,46391,88
"McAllen, TX",38358,33063,74
"Columbia, SC",56233,47779,94
"Greensboro, NC",52479,42717,87
"Akron, OH",58902,48282,98
"North Port-Sarasota-Bradenton, FL",59086,46482,159
"Little Rock, AR",55155,45825,87
"Charleston, SC",62748,49777,146
"Colorado Springs, CO",68629,55756,198
"Fort Myers, FL",55770,49117,145
"Boise City, ID",57745,49696,168
"Madison, WI",74689,58468,182
"Lakeland, FL",50430,44629,112
"Ogden, UT",74993,59628,217
"Daytona Beach, FL",49207,45187,126
"Des Moines, IA",71851,56444,139
"Jackson, MS",54654,44281,94
"Augusta, GA",51842,44502,90
"Harrisburg, PA",68522,55048,116
"Melbourne, FL",54234,48643,136
"Chattanooga, TN",52250,43043,104
"Provo, UT",73129,57233,224
"Lancaster, PA",66298,55170,135
"Modesto, CA",63016,51181,199
"Portland, ME",72501,54822,203
"Durham, NC",64183,50244,137
"Lexington, KY",60392,48183,114
"Lafayette, LA",49082,44522,72
